label,message,length,punct
spam,Ancient Himalayan secret that cures diabetes naturally. Big pharma is trying to hide this from you. Limited time offer - act now!,129,3
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
spam,Revolutionary weight loss method discovered by Harvard doctor. Lose belly fat in just 7 days guaranteed or your money back!,123,2
spam,"Secret ingredient burns fat 24/7. No diet, no exercise needed. Clinical proof shows average 47 lbs lost in 30 days!",115,4
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
spam,"Secret ingredient burns fat 24/7. No diet, no exercise needed. Clinical proof shows average 47 lbs lost in 30 days!",115,4
spam,"Secret ingredient burns fat 24/7. No diet, no exercise needed. Clinical proof shows average 47 lbs lost in 30 days!",115,4
spam,Ancient Himalayan secret that cures diabetes naturally. Big pharma is trying to hide this from you. Limited time offer - act now!,129,3
spam,Revolutionary weight loss method discovered by Harvard doctor. Lose belly fat in just 7 days guaranteed or your money back!,123,2
spam,Ancient Himalayan secret that cures diabetes naturally. Big pharma is trying to hide this from you. Limited time offer - act now!,129,3
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
spam,Ancient Himalayan secret that cures diabetes naturally. Big pharma is trying to hide this from you. Limited time offer - act now!,129,3
spam,"Secret ingredient burns fat 24/7. No diet, no exercise needed. Clinical proof shows average 47 lbs lost in 30 days!",115,4
spam,Revolutionary weight loss method discovered by Harvard doctor. Lose belly fat in just 7 days guaranteed or your money back!,123,2
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
spam,"Secret ingredient burns fat 24/7. No diet, no exercise needed. Clinical proof shows average 47 lbs lost in 30 days!",115,4
spam,Revolutionary weight loss method discovered by Harvard doctor. Lose belly fat in just 7 days guaranteed or your money back!,123,2
spam,Amazing breakthrough! This miracle pill helps you lose weight without diet or exercise. Clinical studies show 95% success rate. Order now before it's banned!,157,4
spam,Revolutionary weight loss method discovered by Harvard doctor. Lose belly fat in just 7 days guaranteed or your money back!,123,2
spam,"Secret ingredient burns fat 24/7. No diet, no exercise needed. Clinical proof shows average 47 lbs lost in 30 days!",115,4
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
spam,Ancient Himalayan secret that cures diabetes naturally. Big pharma is trying to hide this from you. Limited time offer - act now!,129,3
spam,Amazing breakthrough! This miracle pill helps you lose weight without diet or exercise. Clinical studies show 95% success rate. Order now before it's banned!,157,4
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
spam,This one weird trick melts fat overnight. Doctors hate this simple method that's helping thousands lose weight fast.,116,2
